"","samples","raw_seqs","prefiltered_seqs","adaptorremoved_seqs","primerremoved_seqs","padlinkerremoved_seqs","fractionOfRawDataInFinal_seqs"
"218","PD_EA_Ro_03_R2.fastq.gz",94343,90769,90769,90760,90760,0.962021559628165
"219","PD_EA_Ro_04_R1.fastq.gz",92617,89094,89094,89094,89094,0.961961626915145
"220","PD_EA_Ro_04_R2.fastq.gz",92617,89094,89094,89094,89094,0.961961626915145
"221","PD_EA_Ro_05_R1.fastq.gz",81485,79539,79539,79539,79539,0.976118303982328
"222","PD_EA_Ro_05_R2.fastq.gz",81485,79539,79539,79539,79539,0.976118303982328
"223","PD_EA_Ro_06_R1.fastq.gz",83388,81959,81959,81959,81959,0.982863241713436
"224","PD_EA_Ro_06_R2.fastq.gz",83388,81959,81959,81959,81959,0.982863241713436
"225","PD_EA_Ro_07_R1.fastq.gz",108985,106498,106498,106498,106498,0.977180345919163
"226","PD_EA_Ro_07_R2.fastq.gz",108985,106498,106498,106498,106498,0.977180345919163
"227","PD_EA_Ro_08_R1.fastq.gz",116440,113239,113239,113239,113239,0.972509446925455
"228","PD_EA_Ro_08_R2.fastq.gz",116440,113239,113239,113239,113239,0.972509446925455
"229","PD_EA_Ro_09_R1.fastq.gz",131571,128768,128768,128768,128768,0.978695913233159
"230","PD_EA_Ro_09_R2.fastq.gz",131571,128768,128768,128768,128768,0.978695913233159
"231","PD_EA_Ro_10_R1.fastq.gz",68970,67385,67385,67385,67385,0.977018993765405
"232","PD_EA_Ro_10_R2.fastq.gz",68970,67385,67385,67385,67385,0.977018993765405
"233","PD_EA01_So_R1.fastq.gz",140122,137258,137258,137258,137258,0.979560668560255
"234","PD_EA01_So_R2.fastq.gz",140122,137258,137258,137258,137258,0.979560668560255
"235","PD_EA02_So_R1.fastq.gz",102226,100348,100348,100348,100348,0.981628939800051
"236","PD_EA02_So_R2.fastq.gz",102226,100348,100348,100348,100348,0.981628939800051
"237","PD_EA03_So_R1.fastq.gz",122955,119309,119309,119309,119309,0.970346874872921
"238","PD_EA03_So_R2.fastq.gz",122955,119309,119309,119309,119309,0.970346874872921
"239","PD_EA04_So_R1.fastq.gz",101489,99911,99911,99911,99911,0.984451516913163
"240","PD_EA04_So_R2.fastq.gz",101489,99911,99911,99911,99911,0.984451516913163
"241","PD_EA05_So_R1.fastq.gz",105584,103233,103233,103233,103233,0.977733368692226
"242","PD_EA05_So_R2.fastq.gz",105584,103233,103233,103233,103233,0.977733368692226
"243","PD_EA06_So_R1.fastq.gz",128820,126832,126832,126832,126832,0.984567613724577
"244","PD_EA06_So_R2.fastq.gz",128820,126832,126832,126832,126832,0.984567613724577
